,company,Date,Open,High,Low,Close,No. of Shares
5289,BOMDYEING,2022-12-07,84.8500,85.0500,83.3500,84.3500,87556
5290,BOMDYEING,2022-12-06,85.6500,86.3500,84.4000,84.8500,102938
5291,BOMDYEING,2022-12-05,85.6000,87.5000,85.3000,86.3000,312360
5292,BOMDYEING,2022-12-02,82.5000,86.5500,82.5000,85.4000,459866
5293,BOMDYEING,2022-12-01,82.3000,84.0000,81.6000,82.4500,230435
5294,BOMDYEING,2022-11-30,81.1000,82.4000,81.1000,81.7500,214148
5295,BOMDYEING,2022-11-29,81.4500,82.5000,80.9000,81.1000,110775
5296,BOMDYEING,2022-11-28,80.7500,81.5500,80.5000,80.9500,77690
5297,BOMDYEING,2022-11-25,80.1500,82.2500,80.0500,80.7500,143055
5298,BOMDYEING,2022-11-24,81.4500,81.7000,80.2000,80.5000,96029
5299,BOMDYEING,2022-11-23,80.0000,81.8500,80.0000,81.1000,85183
5300,BOMDYEING,2022-11-22,80.0500,81.4500,79.7500,80.4000,106281
5301,BOMDYEING,2022-11-21,81.0000,81.6500,79.8500,80.4500,91197
5302,BOMDYEING,2022-11-18,82.7500,82.7500,80.3000,80.9000,89671
5303,BOMDYEING,2022-11-17,82.9000,83.0500,81.4000,81.8500,87061
5304,BOMDYEING,2022-11-16,84.0000,84.3500,82.1500,82.9000,94740
5305,BOMDYEING,2022-11-15,84.0000,85.0000,83.3000,84.1500,70247
5306,BOMDYEING,2022-11-14,84.6000,85.0000,83.7500,84.7500,91622
5307,BOMDYEING,2022-11-11,85.9000,86.0000,83.9500,84.5000,101596
5308,BOMDYEING,2022-11-10,84.4000,86.7500,82.4000,84.4500,218619
5309,BOMDYEING,2022-11-09,85.2000,85.2000,83.2000,83.6500,118429
5310,BOMDYEING,2022-11-07,82.5500,86.4500,82.1000,84.7500,271450
5311,BOMDYEING,2022-11-04,83.3500,84.2000,82.4500,83.6000,203312
5312,BOMDYEING,2022-11-03,82.5000,83.6000,80.4000,83.3500,203959
5313,BOMDYEING,2022-11-02,80.7500,83.4000,80.1000,82.5000,437941
5314,BOMDYEING,2022-11-01,81.2500,82.1000,79.2000,79.7500,204677
5315,BOMDYEING,2022-10-31,84.4000,84.7000,81.2500,81.5500,335273
5316,BOMDYEING,2022-10-28,86.0000,86.2000,83.4500,84.0000,129336
5317,BOMDYEING,2022-10-27,87.4000,88.8000,85.2000,85.7500,263583
5318,BOMDYEING,2022-10-25,83.6000,87.7000,82.6500,86.7000,425295
5319,BOMDYEING,2022-10-24,82.7000,86.9500,82.7000,84.1000,451711
5320,BOMDYEING,2022-10-21,97.2000,97.6500,95.2500,96.1500,128449
5321,BOMDYEING,2022-10-20,96.9000,96.9000,95.6000,96.4000,71404
5322,BOMDYEING,2022-10-19,96.0500,97.4000,96.0500,96.5500,97736
5323,BOMDYEING,2022-10-18,96.3500,97.6500,96.0500,96.6500,127290
5324,BOMDYEING,2022-10-17,97.4500,97.4500,95.8500,96.1500,91171
5325,BOMDYEING,2022-10-14,97.3000,98.9500,96.5500,97.0500,67450
5326,BOMDYEING,2022-10-13,98.5000,99.1500,96.5000,97.1500,97332
5327,BOMDYEING,2022-10-12,96.0500,99.8500,95.4000,98.5000,141358
5328,BOMDYEING,2022-10-11,97.6000,99.7500,96.3000,96.7500,112177
5329,BOMDYEING,2022-10-10,97.5500,99.5000,97.5500,99.0000,135786
5330,BOMDYEING,2022-10-07,99.4000,100.9500,99.1500,99.9500,140561
5331,BOMDYEING,2022-10-06,98.7500,100.5000,98.2500,99.1500,221387
5332,BOMDYEING,2022-10-04,97.4500,98.4000,96.9000,97.5500,161976
